| Judul                                            | Track | Chapter                                 | Status             | Durasi   | Link Video                                                 |
|--------------------------------------------------|-------|-----------------------------------------|--------------------|----------|------------------------------------------------------------|
| Mengenal Komponen pada Komputer                  | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Wajib & Teori      | 07.00    | https://youtu.be/2tQtnxGo1eE?si=jVuWnlGkMLwboLfY           |
| Alur Pengiriman Data pada Komputer               | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Wajib & Teori      | 14.26    | https://youtu.be/9GMVO6zADpw?si=uCquSU4SNlaHcfYM           |
| Sistem Bus pada Komputer                         | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Opsional & Teori   | 09.23    | https://youtu.be/AJ2j9_f26I0 si=fS4k0vtxRoiwwk_m           |
| Apa itu Binary Code?                             | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Opsional & Teori   | 5,28     | https://youtu.be/1BaaIfoguBY?si=xLZI1GoFDWypZ2zM           |
| Merakit Komputer dari Nol                        | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Opsional & Praktik | 12.57    | https://youtu.be/yx7n_MsHqF0?si=P5QeD9ABrJqdBJ3j           |
| Penjelasan Sistem Operasi Komputer               | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Wajib & Teori      | 06.31    | https://youtu.be/rRFZ5hExKI8?si=NGC1_xMoGVUJygql           |
| Apa itu Virtualisasi                             | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Wajib & Teori      | 08.27    | https://youtu.be/fckgHc2JwQs?si=yHU-aZxjhnPTdpN4           |
| Instalasi Linux Ubuntu pada VirtualBox           | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Wajib & Praktik    | 10.50    | https://youtu.be/JuTncGcT7Ug?si=AsrZH5wTQiYsYOaX           |
| Penjelasan Setiap Distro Linux                   | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Opsional & Teori   | 13.55    | https://youtu.be/QFzXQNZ6zvQ?si=WkHVssmUo7mMk1xe           |
| Cara Install Ulang OS Komputer                   | CORE  | BAB 1: PERANGKAT KERAS & SISTEM OPERASI | Opsional & Praktik | 17.43    | https://youtu.be/SOxURzYOhns?si=_13N_m9qTzwvjJ9V           |
| Konsep Jaringan Komputer                         | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 07.03    | https://youtu.be/xT58k6AB7gk?si=akuXwl0cDhTdbX5I           |
| Sejarah Singkat Internet                         | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Opsional & Teori   | 11.35    | https://youtu.be/xAgC3hDTw3Q?si=trDj8LaD6SWx0Da5           |
| Kayak Gimana Bentuk Internet Sebenernya?         | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 04.13    | https://youtu.be/_fl7wWbV604?si=vtF_vwAeDxnyEKQY           |
| Mekanisme Dibalik Cara Kerja Internet            | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Opsional & Teori   | 11.50    | https://youtu.be/dPM3O5SmzhA?si=W-aZ9SQrfx39eFIA           |
| Penjelasan OSI Model / OSI Layer                 | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 11.41    | https://youtu.be/lWSqQb9KdVQ?si=ZbX5D2wfDyY2hW7C           |
| Konsep TCP/IP                                    | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 16.30    | https://youtu.be/nLF53fEFCC4?si=LJs9uroodUKVhdRG           |
| Konsep UDP                                       | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 10.32    | https://youtu.be/8lKExTlK_f4?si=Qt6J_RSWQ9l6tWr6           |
| Konsep IP Address                                | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 05.59    | https://youtu.be/6YbdN0ubdHk?si=MVuVF1PndP2hnbTn           |
| Konsep MAC Address                               | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 07.58    | https://youtu.be/uisOBGDy64A?si=L4m-eJEoGhUaw8d7           |
| IP Address Private & Public                      | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 07.03    | https://youtu.be/J07fBEEl__s?si=_sLm9u-kVce5e5gK           |
| IP Address Statis & Dinamis                      | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 05.25    | https://youtu.be/GrqgeOj-CAs?si=RY3dCglCiAdTxNN9           |
